name_broker,zipcode_broker,description_broker,score_broker,number_reviews_broker,number_houses_for_sale_offered,number_houses_sold_last_12_months,url
Van de Water Makelaars,5037 LG,"Van de Water Makelaars heeft zich in de loop der jaren ontwikkeld tot een betrouwbaar, deskundig en professioneel makelaarskantoor. Wij streven continu naar een optimale dienstverlening binnen ons vakgebied; de verkoop, aankoop en taxaties van alle typen woningen. Bij Van de Water Makelaars is een enthousiast team van medewerkers zes dagen per week intensief bezig om u een optimale dienstverlening te garanderen. Met meerdere kantoren in ons werkgebied zijn wij uitstekend op de hoogte van de lokale en regionale marktomstandigheden.Verkoop  Als u uw woning wilt verkopen, kan een van onze deskundige makelaars vrijblijvend bij u langskomen om een juiste en betrouwbare indicatie te geven van de waarde van uw woning. Tevens leggen wij u uit hoe Van de Water Makelaars u kan begeleiden bij het volledige verkooptraject. Onze dienstverlening is gedegen en deskundig met natuurlijk een optimale koopsom als resultaat. Voor een heldere en vrijblijvende waardebepaling van uw woning en een uitleg over het volledige verkooptraject, neemt u contact op met Van de Water Makelaars.Aankoop  De woningmarkt is voortdurend in beweging. Om zeker te zijn van een succesvolle aankoop is begeleiding door een deskundige makelaar wenselijk of zelfs noodzakelijk. Of het nu gaat om begeleiding bij het volledige aankooptraject of juist om die ene 'gouden tip', onze deskundige makelaars beschikken over alle faciliteiten om op uw specifieke wensen in te spelen. Voor een heldere en vrijblijvende uitleg over het volledige aankooptraject neemt u contact op met Van de Water Makelaars.Taxaties  De waarde van uw woning die voor u van belang is, kan alleen realistisch beoordeeld worden door een deskundige. Onze brede praktijkervaring en onze uitgebreide informatiebronnen vormen de garantie voor een realistisch en deskundig waarde-oordeel. Onze taxatie-rapporten zijn zeer uitgebreid en houden op weloverwogen wijze rekening met alle relevante gegevens. Voor een realistische en deskundige taxatie van uw woning neemt u contact op met Van de Water Makelaars.",9.1,234,295,298,https://www.funda.nl/en/makelaars/kantoor/tilburg/19200-van-de-water-makelaars/
Makelaar1 Internetmakelaar,5038 CS,"Makelaar1 NVM Internetmakelaar. Wij zijn een moderne innovatieve (landelijk)werkende makelaar die door sterke automatisering u middels een zeer scherp tarief van € 495,-- Incl BTW (All-in) helpt uw woning te verkopen, of u een woning helpt aan te kopen.Meer weten over onze dienstverlening? Neem dan contact met ons op!Team Makelaar1 NVM Internetmakelaar",Missing,Missing,316,420,https://www.funda.nl/en/makelaars/kantoor/tilburg/19317-makelaar1-internetmakelaar/
Nieuw Wonen Twente,7511 AE,"Nieuw Wonen Twente streeft ernaar de beste match te maken tussen de nieuwbouwplannen, de opdrachtgevers en de kopers!Hét startpunt voor als je op zoek bent naar een nieuwbouwwoning koop of huur, of een bouwkavel in de regio Twente. Nieuw Wonen Twente biedt:",8.0,1,321,251,https://www.funda.nl/en/makelaars/kantoor/enschede/16259-nieuw-wonen-twente/
Ditters Makelaars Ede,6711 PM,"Welkom bij dé actieve makelaars voor de regio West-Veluwe ValleiU bent op zoek naar een huis? Overweegt u de verkoop van uw woning? Dan bent u bij Ditters Makelaars aan het juiste adres. Dit NVM-kantoor, met vestigingen in Veenendaal, Ede, Wageningen en Arnhem helpt u bij het nemen van de juiste beslissingen. Op deze website vindt u ons actuele woningaanbod en informatie over de begeleiding die wij bieden bij de verkoop van uw huis of bij aankoop van uw droomwoning. Daarnaast kunt u bij onze ervaren medewerkers ook terecht voor hypotheken, taxaties en verzekeringen. Ditters: Samen meer in huis.",9.1,518,112,421,https://www.funda.nl/en/makelaars/kantoor/ede/18175-ditters-makelaars-ede/
Van de Water Makelaars,4811 HL,"Van de Water Makelaars heeft zich in de loop der jaren ontwikkeld tot een betrouwbaar, deskundig en professioneel makelaarskantoor. Wij streven continu naar een optimale dienstverlening binnen ons vakgebied; de verkoop, aankoop en taxaties van alle typen woningen. Bij Van de Water Makelaars is een enthousiast team van medewerkers zes dagen per week intensief bezig om u een optimale dienstverlening te garanderen. Met meerdere kantoren in ons werkgebied zijn wij uitstekend op de hoogte van de lokale en regionale marktomstandigheden.Verkoop  Als u uw woning wilt verkopen, kan een van onze deskundige makelaars vrijblijvend bij u langskomen om een juiste en betrouwbare indicatie te geven van de waarde van uw woning. Tevens leggen wij u uit hoe Van de Water Makelaars u kan begeleiden bij het volledige verkooptraject. Onze dienstverlening is gedegen en deskundig met natuurlijk een optimale koopsom als resultaat. Voor een heldere en vrijblijvende waardebepaling van uw woning en een uitleg over het volledige verkooptraject, neemt u contact op met Van de Water Makelaars.Aankoop  De woningmarkt is voortdurend in beweging. Om zeker te zijn van een succesvolle aankoop is begeleiding door een deskundige makelaar wenselijk of zelfs noodzakelijk. Of het nu gaat om begeleiding bij het volledige aankooptraject of juist om die ene 'gouden tip', onze deskundige makelaars beschikken over alle faciliteiten om op uw specifieke wensen in te spelen. Voor een heldere en vrijblijvende uitleg over het volledige aankooptraject neemt u contact op met Van de Water Makelaars.Taxaties  De waarde van uw woning die voor u van belang is, kan alleen realistisch beoordeeld worden door een deskundige. Onze brede praktijkervaring en onze uitgebreide informatiebronnen vormen de garantie voor een realistisch en deskundig waarde-oordeel. Onze taxatie-rapporten zijn zeer uitgebreid en houden op weloverwogen wijze rekening met alle relevante gegevens. Voor een realistische en deskundige taxatie van uw woning neemt u contact op met Van de Water Makelaars.",9.2,96,398,153,https://www.funda.nl/en/makelaars/kantoor/breda/19178-van-de-water-makelaars/
Peelrand Makelaardij,5801 AS,"Begin 2000 werd de grondslag gelegd voor ons makelaarskantoor. Onlangs verhuisd naar een prachtig monumentaal pand aan Paterlaan 2 in Venray en niet meer weg te denken uit het Centrum van Venray. Ook zijn we gevestigd in het centrum van Nieuw-Bergen (naast de Hema) . We staan  dus fysiek dicht bij onze klant. Maar ook in onze dienstverlening: we werken klantgericht en laagdrempelig en hebben altijd een luisterend oor voor u. Voor al uw vragen op huisvestigingsgebied (koop of huur, bestaande- of nieuwbouw), zowel particulier als zakelijk kunt bij ons terecht.Even binnenlopen voor die snelle vraag? Of direct een afspraak maken voor een bezichtiging? Bel, mail, sms, app of .... loop gerust eens vrijblijvend binnen. Ons professionele team staat altijd voor u klaar!",9.0,368,146,304,https://www.funda.nl/en/makelaars/kantoor/venray/14211-peelrand-makelaardij/
Damen Makelaardij Maastricht B.V.,6225 EG,"Damen is een full-service advieskantoor voor makelaardij, hypotheken en verzekeringen. Al drie generaties lang!Persoonlijk advies, een goede service en een actieve, attente houding. Dat zijn de eigenschappen die dit Limburgse familiebedrijf al bijna honderd jaar kenmerken. Onder leiding van Jos en Daniëlle Damen is Damen uitgegroeid tot de grootste makelaardij van Limburg, met kantoren in Maastricht, Heerlen, Roermond en Sittard.Wij vinden dat je huis een thuis moet zijn. Een fijne plek waar je graag bent. Waar je comfortabel woont en je je thuis voelt. Bij Damen helpen wij mensen graag om zo’n thuis te vinden. Een persoonlijke benadering staat daarbij centraal.Onze makelaars werken daarom met een kleine portefeuille. Dat maakt het mogelijk om actief te makelen.Om contact te houden met de klant, de geïnteresseerden én met elkaar. Deze korte lijnen zorgen ervoor dat we steeds de juiste klant bij het juiste pand vinden. De menselijke maat in een grote, professionele organisatie. Dat is Damen!",9.1,288,154,309,https://www.funda.nl/en/makelaars/kantoor/maastricht/21192-damen-makelaardij-maastricht-bv/
De Makelaars Jenné | Baars | Jenné,2722 EJ,"Kies niet zomaar een makelaar!Wij zijn in 2010 gestart met Jenné | Baars | Jenné De makelaars. Met kantoren in Rotterdam en Zoetermeer om van hieruit de ons bekende regio’s Rijnmond en Haaglanden te bedienen. Een jonge organisatie met een frisse kijk op de recente ontwikkelingen binnen onze werkgebieden. Met drie beëdigde NVM Makelaars/ gecertificeerde taxateurs en een accurate en ervaren binnendienst.Korte lijnen, één vaste makelaar per opdrachtgever en een aktieve “handen uit de mouwen” mentaliteit maken ons een daadkrachtig kantoor. Juist deze kleinschaligheid past ons inziens in de huidige tijd. Realiteitszin, gedrevenheid en hard werken zijn onze kernwaarden en hiermee hebben wij in onze jonge historie een goede naam opgebouwd.Wij bieden u graag onze dienst als full-service makelaarskantoor aan.  Indien u prijs stelt op een kennismakingsgesprek staan wij daar graag voor open.Belt of mailt u ons gerust voor een vrijblijvende afspraak !Jeroen Jenné         j.jenne@demakelaars.nu Niels Baars             n.baars@demakelaars.nu Erik Jenné             e.jenne@demakelaars.nuOpeningstijden kantoor:Maandag tot en met vrijdag van 09:00 – 17:00Op zaterdagen en buiten kantoortijden zijn wij uiteraard op afspraak bereikbaar.Algemeen mailadres: info@demakelaars.nu",9.1,197,207,224,https://www.funda.nl/en/makelaars/kantoor/zoetermeer/8655-de-makelaars-jenne-baars-jenne/
Woonvast Makelaars,3817 BA,"Maak kennis met Woonvast Makelaars. Compleet woonadvies onder één dak!  Woonvast Makelaars is een veelzijdig makelaarskantoor. Met een hoge mate van inzet en een doordachte dienstverlening met zo volledig mogelijke informatie bemiddelen wij voor u bij het verkopen of het kopen van een woning. Alles op het kwalitatief hoge niveau dat u van een NVM-makelaar mag verwachten. Het team van medewerkers is deskundig op vele (sub)terreinen van de woningmarkt. Iedere medewerker heeft zijn eigen specialisme: Bestaande Bouw, Nieuwbouw, Taxaties, verkoop van Huurwoningen.  Woonvast Makelaars staat voor kwaliteit (een uitgebreid team), betrouwbaarheid (NVM) en een scherpe prijsstelling (courtage).NVM-makelaar  De makelaars van Woonvast Makelaars zijn lid van de NVM, de Nederlandse Vereniging van Makelaars in onroerende goederen en vastgoeddeskundigen. Deze brancheorganisatie toetst de makelaars jaarlijks op hun deskundigheid. Voor u als opdrachtgever geeft dit houvast aan de kwaliteit, betrouwbaarheid, (door middel van de erecode van de NVM en het tuchtrecht) en de deskundigheid van de makelaars.Internet  Kijk ook op WWW.WOONVAST.NL voor al het woningaanbod van ons kantoor.  Zowel bestaande bouw, nieuwbouw als voormalige huurwoningen.Woning kopen  Als u een huis zoekt kunnen wij u geheel of gedeeltelijk begeleiden in het hele zoek- en aankoopproces. Neemt u vrijblijvend contact op met een van onze makelaars om uw wensen eens door te spreken. Ook kunnen wij u vrijblijvend als zoeker op de hoogte houden van het woningaanbod van Woonvast Makelaars.  Laat uw e-mailadres op onze site achter en u ontvangt automatisch een bericht met het nieuwste aanbod.Taxeren  Als u een woning heeft gekocht en u sluit een hypotheek af, dan vraagt de geldverstrekker/uw bank om een taxatie. Wij kunnen voor u taxeren als wij geen belangen hebben gehad bij deze aan- of verkoop.Woning verkopen  Bent u benieuwd wat de waarde van uw huidige koopwoning is, laat ons dan een keer een vrijblijvende waardebepaling voor u uitvoeren. Wij komen graag bij u thuis langs om de woning op te nemen en u te adviseren over de verkoopmogelijkheden. Met kennis van zaken en een maximale inzet begeleiden wij u graag bij de verkoop!",8.8,99,113,380,https://www.funda.nl/en/makelaars/kantoor/amersfoort/137-woonvast-makelaars/
Makelaardij Van der Linden Almere,1314 BN,"Makelaardij Van der Linden is in Flevoland en ook in Amsterdam een vertrouwde naam in de markt. Wij hebben in ons  40-jarig bestaan een toonaangevende positie verworven in de vastgoedmarkt. Met vestigingen in Almere, Amsterdam, Dronten, Lelystad en Zwolle is er een groot kantorennetwerk. Als je erover denkt je huis te verkopen, heb je waarschijnlijk nogal wat vragen. Wat kost het? Welke diensten levert mijn makelaar? Waarom niet zelf verkopen, is toch goedkoper? En wat als blijkt dat mijn makelaar niet aan mijn verwachtingen voldoet? Kan ik het niet gewoon eens proberen? Jazeker, dat kan! Je mag er 100% op kunnen vertrouwen dat wij topkwaliteit leveren. Daarom mag je ons 3 maanden gratis uitproberen. We halen alles uit de kast om je huis binnen die 3 maanden te verkopen. Maar mocht dat niet lukken, mag je daarna no cure no pay met ons verder. Je bent ook vrij om te besluiten om na 3 maanden te stoppen.Persoonlijke aandacht staat bij Van der Linden hoog in het vaandel. Het kopen of verkopen van een woning is zo’n belangrijke beslissing dat deskundige en persoonlijke aandacht een vereiste is. Maak kennis met ons  van Van der Linden onder het kopje ‘’.Het lidmaatschap van de NVM draag ertoe bij dat de kwaliteit gewaarborgd blijft.U mag ons aan onze visie houden:  Van der Linden wil een betrokken en toonaangevende vastgoedspeler zijn, die in alles wat ze doet kwaliteit levert en de verwachtingen van de klant overtreft.",8.7,389,94,370,https://www.funda.nl/en/makelaars/kantoor/almere/6225-makelaardij-van-der-linden-almere/
De Pater Makelaardij NVM,2741 HA,"Wij zijn De Pater Makelaardij. Een dynamisch makelaarskantoor met vestigingen in Waddinxveen en Boskoop. Ons werkgebied ligt in het mooie Groene Hart, een prettige omgeving om te wonen en te werken. De Pater Makelaardij is actief in de bestaande bouw, bedrijfsmatig vastgoed en nieuwbouw. Ons team combineert een schat aan ervaring met een no-nonsense aanpak en...we spreken heldere taal. We delen graag onze kennis met u en voorzien u van goed advies en persoonlijke aandacht.",9.2,8,343,90,https://www.funda.nl/en/makelaars/kantoor/waddinxveen/7021-de-pater-makelaardij-nvm/
FRIS Woningmakelaars Amsterdam,1081 AA,"Denk jij aan verhuizen? Maak dan eens kennis met onze mensen. Echte mensen waar je blij van wordt bij de verkoop of aankoop van jouw huis. Daarnaast gaan we altijd voor het beste resultaat.Ons familiebedrijf bestaat inmiddels al bijna 100 jaar. En net als bij de gemiddelde Nederlandse familie vinden wij het echte contact erg belangrijk. Dat merk je zodra je kennis maakt men onze makelaars. Of je nu een aankoopmakelaar of verkoopmakelaar zoekt, wij hebben ze in huis.Makelen is mensenwerk, daarom nemen we de tijd voor jou en bieden we een luisterend oor. Zo zorgen wij ervoor dat onze klanten heel tevreden zijn en bereid zijn dit door te vertellen. Wil jij ook weten wat onze vakidioten voor je kunnen betekenen?",9.0,136,277,123,https://www.funda.nl/en/makelaars/kantoor/amsterdam/24122-fris-woningmakelaars-amsterdam/
Woonvisie NVM Makelaars,3079 NC,"Om succesvol te opereren op de woningmarkt is een NVM makelaar onmisbaar. Een woning kopen of verkopen doet u immers niet dagelijks. De aankoop of verkoop van een woning is spannend en tijdrovend. Laat u bijstaan door een professional, objectief en onafhankelijk. Zo krijgt u ook de beste prijs bij verkoop van uw huidige woning. Door de heldere aanpak van Woonvisie NVM Makelaars, verkoopt of koopt u tegen de beste voorwaarden!Vanuit het prachtige vernieuwde pand aan de Reyerdijk te IJsselmonde werken zij hard en enthousiast om uw woonwensen te verwezenlijken.",8.9,156,188,248,https://www.funda.nl/en/makelaars/kantoor/rotterdam/15405-woonvisie-nvm-makelaars/
BMV Makelaars (vh. Strijbosch Thunnissen Arnhem),6814 DA,"Onze kantoren zijn gevestigd in  en sinds mei 2017 ook in . Ons werkgebied bestaat uit Arnhem en alle dorpen daar omheen.Ons team weet wat potentiële kopers beweegt en is zeer vertrouwd in de regionale woningmarkt. Wij houden rekening met uw wensen en stellen u en uw huis centraal.Zojuist op Funda uw ideale woonhuis gevonden. Onze makelaars begeleiden u deskundig en doeltreffend bij de aankoop. Natuurlijk na succes tegen een aantrekkelijk tarief.Onze makelaars adviseren u over de marktontwikkelingen, de te hanteren verkoopstrategie, marketing en prijsstelling. Wij beschikken altijd over een ruime keuze aan nieuwbouwwoningen in Arnhem-Noord, Arnhem-Zuid en de regio. Heeft u op korte termijn een taxatie nodig? Wij zijn in staat u op korte termijn te voorzien van een door alle geldverstrekkers geaccepteerd taxatierapport.Benieuwd naar uw mogelijkheden? Onze gecertificeerde adviseurs voorzien u snel van het juiste advies. De kennismaking is kosteloos, vrijblijvend en doeltreffend.   maakt deel uit van Dynamis. Een samenwerkingsverband van 13 toonaangevende makelaarsorganisaties. Hierdoor hebben wij ook landelijk bereik.Op zoek naar een bedrijfsmakelaar? Ook onze afdeling  is u graag van dienst.",9.0,365,96,464,https://www.funda.nl/en/makelaars/kantoor/arnhem/2232-bmv-makelaars-vh-strijbosch-thunnissen-arnhem/
Wisse Makelaardij,3341 EB,"Wisse Makelaardij heeft álles in huis wat voor u van belang is voor de ver- of aankoop van uw woning. Van professionele fotograaf tot verkoopbrochure, van hypotheekadvies tot gratis verhuisbus. Alles onder één dak. Maar thuis vóélen gaat een stapje verder. Ontdek het zelf bij Wisse Makelaardij. Voel je thuis!",9.7,479,67,335,https://www.funda.nl/en/makelaars/kantoor/hendrik-ido-ambacht/15365-wisse-makelaardij/
Lauteslager Makelaars,3511 GV,"U zoekt een makelaar die meedenkt met uw situatie, wensen en mogelijkheden? Dan bent u bij ons aan het goede adres. Lauteslager Makelaars is gespecialiseerd in het aankopen, verkopen, verhuren en taxeren van woningen, bedrijfspanden en nieuwbouw binnen de Utrechtse markt. Onze experts helpen u graag met het vinden van uw ideale huis, het verkopen of verhuren van uw (oude) woning of taxatie van een bedrijfspand. Wij doen dit al meer dan 165 jaar met veel succes! Bij Lauteslager Makelaars staat heldere communicatie, betrokkenheid en duidelijkheid centraal.Ons kantoor bevindt zich aan de Catharijnesingel 100, een markante locatie langs de Singel, tegenover de loopbrug die naar het singelplantsoen rondom de binnenstad leidt.Ons team bestaat uit 14 personen, waaronder beëdigde makelaars/taxateurs, nieuwbouwspecialisten en medewerkers die werkzaam zijn in ondersteunende functies. Tevens zijn er 3 personen werkzaam bij Finagarant waaronder 2 erkend financieel adviseurs en 1 medewerker in de ondersteunende functie.Onze uitgebreide website www.lauteslager.nl wordt dagelijks up-to-date gehouden en heeft momenteel zo'n 500.000 hits per jaar. Via onze website leert u ons beter kennen: hier vindt u o.a. onze namen, functies en de bijbehorende foto's, zodat u weet welke naam bij welk gezicht hoort.Ook kunt u uitgebreid zoeken naar een woning. Via deze optie kunt u op eenvoudige wijze gericht op een adres zoeken of op een ander door u te bepalen criterium. Op onze website vind u niet alleen ons volledige aanbod, maar ook extra informatie over de verschillende woonwijken in Utrecht, waar de dichtstbijzijnde scholen, supermarkten etc. liggen en met de zonnewijzer de zonligging ten opzichte van de woning.Foto's zeggen soms meer dan duizend woorden. Van de tussenwoning met achtertuin tot een exclusief appartement met uitzicht op de Dom. Wij laten foto's zien van de binnen- en buitenzijde van de woning. Van een mooi trapportaal of een kamer-en-suite, van een plaats op het zuidwesten of een keuken waar het nodige aan moet worden vernieuwd. Zo ziet u in één oogopslag of een bezichtiging zin heeft of niet. Tevens kunt u de complete brochure van het object direct downloaden en printen. Dat scheelt tijd en misschien ook ergernis.Wij hopen u met onze website op weg te helpen bij de koop, verkoop, verhuur of taxatie van uw woning.",8.5,324,102,317,https://www.funda.nl/en/makelaars/kantoor/utrecht/17111-lauteslager-makelaars/
De Leeuw Makelaardij,2231 AG,"De Leeuw, koop of verkoop uw woning met de specialist.Door onze grote regionale kennis, persoonlijke aanpak en onze succesvolle verkoopmethode, slaagt u altijd bij De Leeuw. Onze makelaars staan u bij in het hele koop- of verkooptraject. Met vestigingen in Leiden, Rijnsburg, Katwijk en Sassenheim heeft u een uitgebreide keuze en een groot verkoopkanaal. Onze makelaars hebben jarenlange ervaring en zijn altijd op de hoogte van de laatste ontwikkelingen. De Leeuw zorgt ervoor dat u snel en succesvol tot het juiste resultaat komt voor uw situatie. Dat is de waarde van ervaring.Voor meer informatie over verkoop, aankoop of taxatie van een woning, alsmede ons gehele woningaanbod, verwijzen wij u graag naar www.deleeuw.nl/aanbod",9.3,107,171,221,https://www.funda.nl/en/makelaars/kantoor/rijnsburg/25034-de-leeuw-makelaardij/
